"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CTSO","Cytosorbents Corporation","3.96","$128.4M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/ctso",
"DJCO","Daily Journal Corp. (S.C.)","279","$385.23M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","6.075","$274.27M","1994","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/dakt",
"DARE","Dare Bioscience, Inc.","0.81","$15.94M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","8.69","$18.99M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.0277","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","7.64","$163.41M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","2.8","$180.85M","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.14","n/a","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","4.25","$34.9M","1981","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/daio",
"DDOG","Datadog, Inc.","35.91","$10.62B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddog",
"DTSS","Datasea Inc.","2.34","$49.01M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dtss",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","40.265","$1.24B","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","1.61","$41.96M","2015","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","25.545","$157.1M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","18.45","$137.45M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dint",
